,产品单位净值,当日净资产(万元),股票仓位,当日股票贡献(万元),债券资产,股票资产,当前现金余额,回购资产
20180625,1.0454,18813.788185,24.076,,8828.0,4529.610049,-2129.6859219999997,7499.0
20180626,1.0443,18793.096543,23.9736,,8829.9,4505.376981,-2129.861226,7499.0
20180627,1.0407,18728.960196,23.6033,,8828.9,4420.643711,-2110.063433,7499.0
20180628,1.0386,18690.627643,23.3904,,8831.7,4371.820875,-2104.191803,7499.0
20180629,1.0449,18803.910558,23.7946,,8838.1,4474.317635,-2105.459156,7499.0
20180702,1.0382,18684.645336,23.3071,,8844.1,4354.844613,174.539804,5219.0
20180703,1.0399,18715.183621,23.3711,,8846.8,4373.94093,174.539404,5219.0
20180704,1.0362,18648.207308,23.2822,,8849.1,4341.707936,125.58933200000001,5219.0
20180705,1.0329,18588.779645,22.9927,,8855.5,4274.063761,125.75660400000001,5219.0
20180706,1.0353,18631.515114,23.1146,,8860.4,4306.592849000001,-2156.2034350000004,7499.0
20180709,1.0414,18742.051698,23.5741,,8857.9,4418.269709,103.795365,5239.0
20180710,1.0426,18762.771575,23.6477,,8856.2,4436.955058,105.85275700000001,5239.0
20180711,1.0376,18672.832977,23.2635,,8854.0,4343.953387,109.435897,5239.0
20180712,1.0439,18786.184515,23.7092,,8854.5,4454.053936,2119.884252,3239.0
20180713,1.0447,18800.961303,23.7383,,8853.7,4463.035972,-1723.5224859999998,7083.0
20180716,1.044,18788.403452,23.6812,,8846.7,4449.325727,207.526736,5183.0
20180717,1.0432,18773.628155,22.0839,,8849.1,4145.942743,487.373495,5183.0
20180718,1.0417,18747.523081,21.9925,,8848.8,4123.050777,4108.53675,1584.0
20180719,1.0418,18749.19233,21.94,,12863.224,4113.567129,87.524686,1584.0
20180720,1.0451,18808.353784,22.1162,,12874.1,4159.685506,87.412475,1584.0
20180723,1.0467,18836.288639,22.1899,,12880.8,4179.756287,87.412475,1584.0
20180724,1.0525,18941.129495,22.5876,,12885.9,4278.347694,87.412475,1584.0
20180725,1.0527,18944.694668,22.5816,,12889.1,4278.013908,86.871075,1584.0
20180726,1.0503,18901.2926,22.3698,,12894.2,4228.190490999999,1672.9300039999998,0.0
20180727,1.0492,18882.165818,22.2506,,12898.3,4201.403231,173.530004,1499.4
20180730,1.0478,18856.734289,22.12,,12902.0,4171.111932,173.530004,1499.4
20180731,1.0479,18859.317525,20.1809,,12904.3,3805.98831,538.766704,1499.4
